teamName,playerName,tgName,steamLink,level,damageDealt_normal,roundsPlayed_normal,damageDealt_ranked,roundsPlayed_ranked,solo_rating
dallas1995,dallas1995,Алексей Кочура,https://steamcommunity.com/profiles/76561198334489371/,416,205.46588546255504,454,149.2989180327869,61,788.5419023969152
EdinoRozhki_44,ygort123,@ihtoa213,https://steamcommunity.com/profiles/76561199039097207,1220,212.48902221290865,1193,187.23896082474224,97,1003.8200563049838
EdinoRozhki_44,Sasavotik__223,@Ezhik_RAxx,https://steamcommunity.com/profiles/76561199808843549/,157,179.91445714285717,350,138.12724623115577,199,642.2751212734138
EdinoRozhki_44,60M_6EP,@Ssantt1,https://steamcommunity.com/profiles/76561199808843549/,238,133.01435151832462,191,163.84291904761903,42,552.8490929339152
Köklök,r1ryZ,@Funcefusichek,https://steamcommunity.com/profiles/76561198948392686/,200,150.23693358320838,667,0.0,0,559.1093099567114
Köklök,poezd228,@zimogorj,https://steamcommunity.com/profiles/76561198960036236/,130,117.4425685816876,557,0.0,0,431.2320652209833
SABR,RedShanks95_TV,@Акагами но,https://steamcommunity.com/profiles/76561198316096154/,2500,217.7234055555556,90,174.8506753488372,43,1300.528511817291
(1P1),jona_____,@m4fen,https://steamcommunity.com/profiles/76561199444995670/,334,176.1160594679186,639,0.0,0,677.459370800925
Paracetamol,Jul1us_NM,@Jul1us1,https://steamcommunity.com/profiles/76561199168517505/,193,234.90936575342465,511,77.97241666666666,6,842.247109380737
Paracetamol,Pate1k0,@ArsenKovtun,https://steamcommunity.com/profiles/76561199231520729/,44,141.62218048780488,82,0.0,0,495.0495556476733
CummDog,CummDog,@Ushkuini,https://s.team/p/fdmh-jgnt/vtjkrhnq,222,140.91036210163654,1161,0.0,0,532.0200885911452
пошлая молли,zme1kobra,@Yalahant,https://steamcommunity.com/id/Yalahant/,82,104.24579333333332,15,0.0,0,375.38228681492865
пошлая молли,mousemman,@mousem4n,https://steamcommunity.com/profiles/76561199097864233/,130,200.8343454772728,44,0.0,0,716.997195619434
CarnageSquad,weqty,https://t.me/pipign,https://steamcommunity.com/id/fhhjhjhfs33/,191,111.69038307692308,39,0.0,0,425.02619847387047
CarnageSquad,DEADLY_PANDA03,@DEADLY_PANDA03,https://steamcommunity.com/profiles/76561199052938448/,161,145.06574436619718,71,0.0,0,532.7540646657656
CarnageSquad,klinobed,@klinobed,https://steamcommunity.com/id/klinobed,144,190.8754270212765,94,0.0,0,685.9698354513082
